Time	[STAT5]	[STAT5p]	[STAT5p2c]	[data1]	[data2]	[frac_v1]	[frac_v2]	[frac_v4]	[STAT5p2n]	[frac_v3]	Values[r4]	Values[D]	Values[smooth_D]	Values[smooth_D_slope]	Values[smooth_D_offset]
30.6	0.208101	0.387061	0.0776462	0.542354	0.750454	0.174875	0.325261	0.209702	0.124773	0.130498	1.35	0.0490852	0.0490852	-0.002558	0.12736
31.2	0.218368	0.391468	0.076486	0.54444	0.762808	0.183502	0.328965	0.199321	0.118596	0.128548	1.35	0.0475504	0.0475504	-0.002558	0.12736
31.8	0.222262	0.392443	0.0768249	0.546093	0.768355	0.186775	0.329784	0.19466	0.115823	0.129118	1.35	0.0460156	0.0460156	-0.002558	0.12736
32.4	0.226301	0.390852	0.0767209	0.544294	0.770595	0.190169	0.328447	0.192777	0.114702	0.128943	1.35	0.0444808	0.0444808	-0.002558	0.12736
33	0.231438	0.388592	0.0761194	0.54083	0.772268	0.194485	0.326548	0.191371	0.113866	0.127932	1.35	0.042946	0.042946	-0.002558	0.12736
33.6	0.237257	0.386324	0.0753193	0.536962	0.774219	0.199375	0.324642	0.189732	0.11289	0.126587	1.35	0.0414112	0.0414112	-0.002558	0.12736
34.2	0.243443	0.384072	0.074471	0.533015	0.776457	0.204574	0.32275	0.187851	0.111771	0.125161	1.35	0.0398764	0.0398764	-0.002558	0.12736
34.8	0.249922	0.381744	0.073601	0.528946	0.778868	0.210019	0.320793	0.185825	0.110566	0.123699	1.35	0.0383416	0.0383416	-0.002558	0.12736
35.4	0.256725	0.379281	0.0726976	0.524676	0.781401	0.215735	0.318723	0.183697	0.1093	0.122181	1.35	0.0368068	0.0368068	-0.002558	0.12736
36	0.263896	0.376661	0.0717487	0.520159	0.784055	0.221761	0.316522	0.181467	0.107973	0.120586	1.35	0.035272	0.035272	-0.002558	0.12736
36.6	0.271476	0.373873	0.0707476	0.515368	0.786844	0.228131	0.314179	0.179123	0.106578	0.118904	1.35	0.0337372	0.0337372	-0.002558	0.12736
37.2	0.279503	0.370901	0.0696899	0.510281	0.789784	0.234876	0.311681	0.176652	0.105108	0.117126	1.35	0.0322024	0.0322024	-0.002558	0.12736
37.8	0.288017	0.367729	0.0685711	0.504871	0.792887	0.242031	0.309016	0.174044	0.103556	0.115246	1.35	0.0306676	0.0306676	-0.002558	0.12736
38.4	0.297061	0.364335	0.0673864	0.499108	0.796169	0.249631	0.306164	0.171286	0.101915	0.113254	1.35	0.0291328	0.0291328	-0.002558	0.12736
39	0.306688	0.360696	0.0661297	0.492956	0.799644	0.257721	0.303106	0.168366	0.100178	0.111142	1.35	0.027598	0.027598	-0.002558	0.12736
